#filename   #redshift
S000_CIC1024_conf.bin 1.47619
S001_CIC1024_conf.bin 1.34888
S002_CIC1024_conf.bin 1.2322
S003_CIC1024_conf.bin 1.12473
S004_CIC1024_conf.bin 1.02526
S005_CIC1024_conf.bin 0.932778
S006_CIC1024_conf.bin 0.846434
S007_CIC1024_conf.bin 0.765491
S008_CIC1024_conf.bin 0.689318
S009_CIC1024_conf.bin 0.61737
S010_CIC1024_conf.bin 0.549169
S011_CIC1024_conf.bin 0.484297
S012_CIC1024_conf.bin 0.422385
S013_CIC1024_conf.bin 0.363102
S014_CIC1024_conf.bin 0.306154
S015_CIC1024_conf.bin 0.251275
S016_CIC1024_conf.bin 0.19822
S017_CIC1024_conf.bin 0.146768
S018_CIC1024_conf.bin 0.0967089
S019_CIC1024_conf.bin 0.0478483
S020_CIC1024_conf.bin 0.
